,ID89,name89,region,okrug,oblast_center,CityStatus,RaionCenter,Gubernia,Latitude,Longitude,lat2,long2,latlong,pop1926,pop1939,pop1959,pop1970,mp1926,mp1939,mp1959,mp1970,spop1926,spop1939,spop1959,spop1970,smp1926,smp1939,smp1959,smp1970,URAL,YUZHNY,DALNEV,PRIVOL,SEVER_ZAPAD,SIBIRSKII,TSENTRALNY,HBR,LBR
56,176,Ust'-Tsil'ma,Komi ASSR,Severno-Zapadny,0,0,1,1.0,65.44,52.16,4282.3936,2720.6656,3413.3504,3247,0,NA,NA,11327.93012,25033.71898,39052.58483,50529.01695,65.37509634,0.0,NA,NA,87.14272249999999,102.5759577,111.7812314,117.295464,0,0,0,0,1,0,0,0,0
58,185,Koriazhma,Arkhangel'skaia oblast',Severno-Zapadny,0,1,0,7.0,61.32,47.14,3760.1424,2222.1796,2890.6248,0,0,11200,33200,17090.02114,37426.53575,57336.459520000004,74095.9899,0.0,0.0,86.93080469,108.3744534,94.98938931,110.88374830000001,120.04909939999999,125.73398600000002,0,0,0,0,1,0,0,0,0
59,187,Kotlas,Arkhangel'skaia oblast',Severno-Zapadny,0,1,0,7.0,61.26,46.7,3752.7876,2180.89,2860.842,4280,17265,39162,55700,17215.18737,37314.59811,56851.703239999995,73954.76182999999,69.9181655,95.18805532,111.8404001,119.41540149999999,95.13168415,110.82067450000001,119.8631152,125.6912041,0,0,0,0,1,0,0,0,0
60,189,Novodvinsk,Arkhangel'skaia oblast',Severno-Zapadny,0,1,0,1.0,64.42,40.81,4149.9364,1665.4561,2628.9802,0,0,16300,34200,18003.92567,44887.33262,60504.11052,79377.90163,0.0,0.0,94.06905667,108.9932017,96.00756681,114.74503529999998,121.23037439999999,127.2829665,0,0,0,0,1,0,0,0,0
61,191,Onega,Arkhangel'skaia oblast',Severno-Zapadny,0,1,0,1.0,63.91,38.1,4084.4881,1451.61,2434.971,5254,15783,21306,25000,15355.76144,33798.851610000005,48729.64052,63020.23465,73.38911939,93.44487024,99.335986,102.54865749999999,92.91506385,108.746982,116.5113591,122.12926759999999,0,0,0,0,1,0,0,0,0
62,193,Severodvinsk,Arkhangel'skaia oblast',Severno-Zapadny,0,1,0,1.0,64.57,39.85,4169.2849,1588.0225,2573.1145,0,21304,78657,144700,15853.94175,36995.60409,51376.247989999996,66604.69602999999,0.0,99.33411476,127.07719009999998,141.1918555,93.53159569,110.6399862,117.6559174,123.3550168,0,0,0,0,1,0,0,0,0
64,196,Kuloi,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.03,42.5,3724.6609,1806.25,2593.775,0,0,NA,NA,19179.10944,41309.94912,60930.83255,78466.65995,0.0,0.0,NA,NA,97.25069926,112.9726362,121.3851874,127.02257209999999,0,0,0,0,1,0,0,0,0
65,197,Solginskii,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.05,41.35,3727.1025,1709.8225,2524.4175,0,0,NA,NA,19554.90856,42068.544669999996,61376.71121,78936.30127000001,0.0,0.0,NA,NA,97.6337976,113.35979259999999,121.5459007,127.1571179,0,0,0,0,1,0,0,0,0
66,200,Dvinskoi,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,62.16,45.12,3863.8656,2035.8144,2804.6592,0,0,NA,NA,16202.81435,35298.87365,53006.574689999994,68531.83982000001,0.0,0.0,NA,NA,93.95309034,109.6545392,118.3346094,123.9894216,0,0,0,0,1,0,0,0,0
67,201,Verkhniaia Toima,Arkhangel'skaia oblast',Severno-Zapadny,0,0,1,7.0,62.25,45.02,3875.0625,2026.8004,2802.495,0,0,NA,NA,16102.082709999999,35088.048819999996,52641.9878,68054.4655,0.0,0.0,NA,NA,93.83223251,109.52911540000001,118.18449679999999,123.83380009999999,0,0,0,0,1,0,0,0,0
68,204,Il'insko-Podomskoe,Arkhangel'skaia oblast',Severno-Zapadny,0,0,1,7.0,61.12,47.98,3735.6544,2302.0804,2932.5376,0,0,NA,NA,16736.63289,36663.7661,56598.099,73514.32051,0.0,0.0,NA,NA,94.58253342,110.4505203,119.76524109999998,125.5573027,0,0,0,0,1,0,0,0,0
69,207,Bereznik,Arkhangel'skaia oblast',Severno-Zapadny,0,0,1,1.0,62.85,42.74,3950.1225,1826.7076,2686.2090000000003,0,0,NA,NA,15944.35751,34799.28076,51318.28009,66284.37815,0.0,0.0,NA,NA,93.64162496,109.3562108,117.63142759999998,123.2479544,0,0,0,0,1,0,0,0,0
