,ID89,name89,region,okrug,oblast_center,CityStatus,RaionCenter,Gubernia,Latitude,Longitude,lat2,long2,latlong,pop1926,pop1939,pop1959,mp1926,mp1939,mp1959,spop1926,spop1939,spop1959,smp1926,smp1939,smp1959,URAL,YUZHNY,DALNEV,PRIVOL,SEVER_ZAPAD,SIBIRSKII,TSENTRALNY,HBR,LBR
73,214,Ertsevo,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,60.8,40.09,3696.64,1607.2081,2437.472,0,NA,NA,20619.31242,44198.37959,63716.4645,0.0,NA,NA,98.68402642,114.41390159999999,122.3722307,0,0,0,0,1,0,0,0,0
74,215,Podiuga,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.09,40.86,3731.9881,1669.5396,2496.1374,0,NA,NA,19635.40874,42237.06248,61333.82423,0.0,NA,NA,97.71500003,113.4449379,121.5304887,0,0,0,0,1,0,0,0,0
75,217,Sol'vychegodsk,Arkhangel'skaia oblast',Severno-Zapadny,0,1,0,7.0,61.33,46.92,3761.3689,2201.4864,2877.6036,2129,3000,3500,17127.36213,37850.34804,59287.85517,58.72781704,64.10192163,66.59405807,95.03193792,111.12101809999999,120.78361159999999,0,0,0,0,1,0,0,0,0
76,218,Privodino,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.07,46.49,3729.5449,2161.3201,2839.1443,0,NA,NA,17871.96023,39057.36419,59650.110889999996,0.0,NA,NA,95.86345181,111.783819,120.91754240000002,0,0,0,0,1,0,0,0,0
77,219,Udimskii,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.14,46.92,3738.0996,2201.4864,2868.6888,0,NA,NA,17521.59022,38496.20269,59524.13012,0.0,NA,NA,95.47613694,111.47801319999999,120.8710496,0,0,0,0,1,0,0,0,0
78,220,Kharitonovo,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.41,47.5,3771.1881,2256.25,2916.975,0,NA,NA,16585.04557,36322.869380000004,56185.31555,0.0,NA,NA,94.40564424,110.2542595,119.6050793,0,0,0,0,1,0,0,0,0
79,221,Cheremushskii,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.27,47.27,3754.0129,2234.4529,2896.2329,0,NA,NA,17001.99564,37242.63534,58316.771570000004,0.0,NA,NA,94.88875659,110.78003490000002,120.4208848,0,0,0,0,1,0,0,0,0
80,222,Shipitsyno,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.28,46.53,3755.2384,2165.0409,2851.3584,0,NA,NA,17665.40277,39155.10344,60850.30266,0.0,NA,NA,95.63594773,111.836675,121.35604709999998,0,0,0,0,1,0,0,0,0
81,224,Krasnoborsk,Arkhangel'skaia oblast',Severno-Zapadny,0,0,1,7.0,61.56,45.94,3789.6336,2110.4836,2828.0664,989,NA,NA,16908.6389,36899.82746,55930.30902000001,47.5643927,NA,NA,94.78151692,110.58546000000001,119.50560049999999,0,0,0,0,1,0,0,0,0
82,227,Urdoma,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.76,48.55,3814.2976,2357.1025,2998.448,0,NA,NA,15610.76834,34281.82933,53092.709,0.0,NA,NA,93.23285597,109.04310659999999,118.3699369,0,0,0,0,1,0,0,0,0
83,228,Iarensk,Arkhangel'skaia oblast',Severno-Zapadny,0,0,1,7.0,62.17,49.11,3865.1089,2411.7921,3053.1687,949,NA,NA,14907.775319999999,32848.83919,51163.902689999995,46.996629799999994,NA,NA,92.34514614,108.1531712,117.56608490000002,0,0,0,0,1,0,0,0,0
84,231,Leshukonskoe,Arkhangel'skaia oblast',Severno-Zapadny,0,0,1,1.0,64.9,45.77,4212.01,2094.8929,2970.473,0,NA,NA,12907.76903,28407.65546,42786.83358,0.0,NA,NA,89.59729295,105.1530054,113.7205912,0,0,0,0,1,0,0,0,0
85,234,Mezen',Arkhangel'skaia oblast',Severno-Zapadny,0,1,1,1.0,65.83,44.26,4333.5889,1958.9476,2913.6358,2947,3900,4100,12240.521859999999,27069.75558,40531.96871,63.81681899,68.37192611,69.20147267,88.59529162,104.1659541,112.5688384,0,0,0,0,1,0,0,0,0
86,235,Kamenka,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,1.0,65.89,44.11,4341.4921,1945.6921,2906.4079,0,NA,NA,12512.30635,27404.01589,40829.96366,0.0,NA,NA,89.00918545,104.4166151,112.7243305,0,0,0,0,1,0,0,0,0
88,238,Shalakusha,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,27.0,62.22,40.27,3871.3284,1621.6729,2505.5994,0,NA,NA,17606.47281,38102.2596,55215.16359,0.0,NA,NA,95.57060393,111.26091299999999,119.22440590000001,0,0,0,0,1,0,0,0,0
89,241,Maloshuika,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,1.0,63.71,43.76,4058.9641,1914.9376,2787.9496,0,NA,NA,14625.99869,32167.889389999997,47763.85787,0.0,NA,NA,91.97876355,107.7179121,116.0796044,0,0,0,0,1,0,0,0,0
90,244,Pinega,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,1.0,64.7,44.4,4186.09,1971.36,2872.68,1371,NA,NA,13390.99843,29599.19992,44169.33089,52.17600047,NA,NA,90.29442749,105.997374,114.3998372,0,0,0,0,1,0,0,0,0
91,245,Karpogory,Arkhangel'skaia oblast',Severno-Zapadny,0,0,1,1.0,64.0,44.45,4096.0,1975.8025,2844.8,0,NA,NA,14125.917980000002,31076.31227,46372.15421,0.0,NA,NA,91.31267423,107.0024973,115.4433011,0,0,0,0,1,0,0,0,0
92,248,Plesetsk,Arkhangel'skaia oblast',Severno-Zapadny,0,0,1,1.0,62.71,40.3,3932.5441,1624.09,2527.2129999999997,1513,NA,NA,16760.45266,36466.2259,52913.72268,53.60948323,NA,NA,94.61019824,110.33699479999999,118.2964683,0,0,0,0,1,0,0,0,0
93,249,Emtsa,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,1.0,63.07,40.34,3977.8249,1627.3156,2544.2438,710,NA,NA,16272.853130000001,35541.41237,51608.61381,43.10270413,NA,NA,94.03672634,109.7979949,117.7538341,0,0,0,0,1,0,0,0,0
94,250,Obozerskii,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,1.0,63.46,40.32,4027.1716,1625.7024,2558.7072,517,NA,NA,15828.12924,34916.96646,50679.0228,39.03803976,NA,NA,93.50008054,109.4268331,117.3596815,0,0,0,0,1,0,0,0,0
95,251,Oksovskii,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,1.0,62.6,39.93,3918.76,1594.4049,2499.618,0,NA,NA,17078.41235,36953.39708,53481.08095,0.0,NA,NA,94.97614455,110.61597330000001,118.5285815,0,0,0,0,1,0,0,0,0
