,ID89,name89,region,okrug,oblast_center,CityStatus,RaionCenter,Gubernia,Latitude,Longitude,lat2,long2,latlong,pop1897,pop1926,mp1897,mp1926,spop1897,spop1926,smp1897,smp1926,URAL,YUZHNY,DALNEV,PRIVOL,SEVER_ZAPAD,SIBIRSKII,TSENTRALNY,HBR,LBR
176,456,Lodeinoe Pole,Leningradskaia oblast',Severno-Zapadny,0,1,0,27.0,60.73,33.56,3688.1329,1126.2736,2038.0988,1432,7243,15833.729669999999,24851.135009999998,52.8067797,78.99282467,93.50692217,102.42773259999998,0,0,0,0,1,0,0,0,1
183,465,Tosno,Leningradskaia oblast',Severno-Zapadny,0,1,0,37.0,59.54,30.88,3545.0116,953.5744,1838.5952,2400,4924,34661.93485,49028.32814,60.57857609,72.28190381,109.2735169,116.64331640000002,0,0,0,0,1,0,0,0,1
216,528,Liuban',Leningradskaia oblast',Severno-Zapadny,0,1,0,37.0,59.34,31.25,3521.2356,976.5625,1854.375,1000,4284,26117.12621,38228.48031,47.71708299,69.93378844,103.435949,111.330693,0,0,0,0,1,0,0,0,1
224,548,Valdai,Novgorodskaia oblast',Severno-Zapadny,0,1,1,26.0,57.98,33.25,3361.6804,1105.5625,1927.835,2907,5796,17727.35701,28986.852560000003,63.59866158,75.08089585,95.70443429,105.5673568,0,0,0,0,1,0,0,0,0
226,553,Demiansk,Novgorodskaia oblast',Severno-Zapadny,0,0,1,26.0,57.65,32.46,3323.5225,1053.6516,1871.319,1648,2441,17279.11588,28048.71825,54.86835566,60.84254392,95.20400321,104.89238229999998,0,0,0,0,1,0,0,0,0
227,556,Kresttsy,Novgorodskaia oblast',Severno-Zapadny,0,0,1,26.0,58.24,32.5,3391.8976,1056.25,1892.8,2596,3217,17918.48171,28723.21502,61.80675265,65.22507957,95.91436507,105.37968870000002,0,0,0,0,1,0,0,0,0
248,597,Chudovo,Novgorodskaia oblast',Severno-Zapadny,0,1,1,26.0,59.12,31.65,3495.1744,1001.7225,1871.148,1000,5324,22022.37706,33207.57735,47.71708299,73.61605988,99.99628712,108.3792049,0,0,0,0,1,0,0,0,0
256,610,Gdov,Pskovskaia oblast',Severno-Zapadny,0,1,1,37.0,58.75,27.82,3451.5625,773.9524,1634.425,2106,3370,15678.33395,23951.21286,58.56145558,65.97773582,93.31627688,101.682503,0,0,0,0,1,0,0,0,1
263,624,Novorzhev,Pskovskaia oblast',Severno-Zapadny,0,1,1,34.0,57.03,29.33,3252.4209,860.2489,1672.6899,2838,3002,14520.44391,23174.646,63.21609297,64.11259367,91.83988537,101.01886440000001,0,0,0,0,1,0,0,0,1
267,633,Pechory,Pskovskaia oblast',Severno-Zapadny,0,1,1,34.0,57.82,27.61,3343.1524,762.3121,1596.4102,1400,NA,14148.092419999999,22106.23834,52.4788323,NA,91.34265388,100.0723156,0,0,0,0,1,0,0,0,1
337,773,Gorokhovets,Vladimirskaia oblast',Tcentralny,0,1,1,6.0,56.19,42.7,3157.3161,1823.29,2399.313,2297,3927,19768.733959999998,34905.54963,59.89768087,68.48606935,97.84883245,109.41999140000001,0,0,0,0,0,0,1,0,0
358,805,Pokrov,Vladimirskaia oblast',Tcentralny,0,1,0,6.0,55.92,39.18,3127.0464,1535.0724,2190.9456,2785,3242,28253.08199,54878.266520000005,62.91667401,65.35017812,105.04113659999999,119.09078999999998,0,0,0,0,0,0,1,0,0
363,813,Sudogda,Vladimirskaia oblast',Tcentralny,0,1,1,6.0,55.95,40.86,3130.4025,1669.5396,2286.117,3182,4477,22270.93762,39676.36859,65.04850289,70.6727471,100.22087909999999,112.11656599999999,0,0,0,0,0,0,1,0,0
396,864,Lukh,Ivanovskaia oblast',Tcentralny,0,0,1,18.0,57.0,42.27,3249.0,1786.7529,2409.39,1965,NA,18892.40221,35226.068980000004,57.50564301,NA,96.95386002,109.6113031,0,0,0,0,0,0,1,0,0
399,870,Ples,Ivanovskaia oblast',Tcentralny,0,1,0,18.0,57.46,41.52,3301.6516,1723.9104,2385.7392,2164,1991,19332.49119,36864.03168,58.97800159,57.70517604,97.40786799,110.56504840000002,0,0,0,0,0,0,1,0,0
401,873,Puchezh,Ivanovskaia oblast',Tcentralny,0,1,1,25.0,56.98,43.16,3246.7204,1862.7856,2459.2568,3000,5501,17820.778459999998,32024.519060000002,64.10192163,74.17834589,95.80730067,107.62521059999999,0,0,0,0,0,0,1,0,0
434,926,Ves'egonsk,Kalininskaia oblast',Tcentralny,0,1,1,43.0,58.65,37.27,3439.8225,1389.0529,2185.8855,3457,3988,16785.32764,28831.32142,66.39245337,68.74142937,94.63905097,105.45683059999999,0,0,0,0,0,0,1,0,0
439,935,Zubtsov,Kalininskaia oblast',Tcentralny,0,1,1,43.0,56.18,34.58,3156.1924,1195.7764,1942.7044,2992,3658,21077.708469999998,35703.008819999995,64.0591711,67.31663982,99.12136434,109.8930845,0,0,0,0,0,0,1,0,0
451,954,Krasnyi Kholm,Kalininskaia oblast',Tcentralny,0,1,1,43.0,58.06,37.12,3370.9636,1377.8944,2155.1872,2514,4617,18416.27888,31803.6447,61.30311203,71.19141338,96.45184996,107.4816594,0,0,0,0,0,0,1,0,0
490,1042,Maloiaroslavets,Kaluzhskaia oblast',Tcentralny,0,1,1,15.0,55.01,36.74,3026.1001,1349.8276,2021.0674,2497,5455,28019.909289999996,48853.5278,61.19690844,74.03377024,104.871334,116.5661801,0,0,0,0,0,0,1,0,0
492,1046,Meshchovsk,Kaluzhskaia oblast',Tcentralny,0,1,1,15.0,54.32,35.3,2950.6624,1246.09,1917.496,3635,2658,20925.04347,34179.80592,67.21317867,62.17841721,98.97667094,108.98086940000002,0,0,0,0,0,0,1,0,0
493,1048,Mosal'sk,Kaluzhskaia oblast',Tcentralny,0,1,1,15.0,54.49,34.99,2969.1601,1224.3001,1906.6051,2655,2301,20333.18291,33451.06105,62.16060859,59.92461512,98.40658762,108.531365,0,0,0,0,0,0,1,0,0
494,1050,Peremyshl',Kaluzhskaia oblast',Tcentralny,0,0,1,15.0,54.27,36.17,2945.2329,1308.2689,1962.9459,1712,1431,23651.58989,38112.85981,55.43424259,52.79662744,101.4287797,111.2667812,0,0,0,0,0,0,1,0,0
498,1058,Tarusa,Kaluzhskaia oblast',Tcentralny,0,1,1,15.0,54.72,37.17,2994.2784,1381.6089,2033.9424,1989,1929,27555.42237,47222.63398,57.68990792,57.22554866,104.529248,115.8341742,0,0,0,0,0,0,1,0,0
503,1072,Iukhnov,Kaluzhskaia oblast',Tcentralny,0,1,1,15.0,54.74,35.23,2996.4676,1241.1529,1928.4902,2249,2003,21271.82896,35426.26488,59.57124339,57.79650607,99.30399314,109.72999879999999,0,0,0,0,0,0,1,0,0
505,1081,Bui,Kostromskaia oblast',Tcentralny,0,1,0,18.0,58.48,41.53,3419.9104,1724.7409,2428.6744,2624,9667,15916.80614,28157.2164,61.97555009,84.20766227,93.60815638,104.9714783,0,0,0,0,0,0,1,0,0
508,1085,Nerekhta,Kostromskaia oblast',Tcentralny,0,1,0,18.0,57.45,40.58,3300.5025,1646.7364,2331.321,3092,7381,21242.26219,38940.97641,64.58651217,79.32867091,99.27627373,111.72072179999999,0,0,0,0,0,0,1,0,0
513,1097,Kadyi,Kostromskaia oblast',Tcentralny,0,0,1,18.0,57.78,43.19,3338.5284,1865.3761,2495.5182,1095,NA,15787.03109,28325.452419999998,48.97913721,NA,93.44980755,105.0935815,0,0,0,0,0,0,1,0,0
514,1099,Kologriv,Kostromskaia oblast',Tcentralny,0,1,1,18.0,58.83,44.31,3460.9689,1963.3761,2606.7573,2565,3086,13030.33326,22968.82811,61.61800608,64.55529584,89.77629291,100.83962059999999,0,0,0,0,0,0,1,0,0
526,1134,Soligalich,Kostromskaia oblast',Tcentralny,0,1,1,18.0,59.08,42.29,3490.4464,1788.4441,2498.4932,3419,3489,13910.09896,24476.86171,66.21245157,66.54269251,91.01866736,102.1207974,0,0,0,0,0,0,1,0,0
527,1136,Sudislavl',Kostromskaia oblast',Tcentralny,0,0,1,18.0,57.88,41.71,3350.0944,1739.7241,2414.1748,1362,976,17672.506530000002,32129.31431,52.08089582,47.38205718,95.64381142,107.6930067,0,0,0,0,0,0,1,0,0
529,1140,Chukhloma,Kostromskaia oblast',Tcentralny,0,1,1,18.0,48.75,42.71,2376.5625,1824.1441,2082.1125,2202,2240,12500.61972,21876.186169999997,59.24567657,59.50936216,88.99155429999999,99.86312557,0,0,0,0,0,0,1,0,0
531,1186,Volokolamsk,Moskovskaia oblast',Tcentralny,0,1,0,24.0,56.05,35.94,3141.6025,1291.6836,2014.4370000000001,3091,4412,25092.33998,44490.390589999995,64.58131313,70.42706346,102.6233407,114.55481909999999,0,0,0,0,0,0,1,0,0
532,1187,Voskresensk,Moskovskaia oblast',Tcentralny,0,1,0,24.0,55.32,38.69,3060.3024,1496.9161,2140.3308,2289,4663,31349.238760000004,57039.39457999999,59.84368961,71.35880829999999,107.18347560000001,119.93529620000001,0,0,0,0,0,0,1,0,0
538,1202,Zvenigorod,Moskovskaia oblast',Tcentralny,0,1,0,24.0,55.73,36.87,3105.8329,1359.3969,2054.7651,2381,3124,38803.7194,72376.8247,60.45491449,64.75210893,111.6460909,125.20807520000001,0,0,0,0,0,0,1,0,0
542,1220,Mozhaisk,Moskovskaia oblast',Tcentralny,0,1,0,24.0,55.51,36.03,3081.3601,1298.1609,2000.0253,3194,2625,26201.07706,46139.064360000004,65.10923431,61.98154944,103.5012376,115.33503999999999,0,0,0,0,0,0,1,0,0
575,1299,Lukhovitsy,Moskovskaia oblast',Tcentralny,0,1,1,24.0,54.96,39.03,3020.6016,1523.3409,2145.0888,1700,NA,27182.46012,47233.93708,55.32954954,NA,104.25078140000001,115.8393258,0,0,0,0,0,0,1,0,0
596,1363,Ruza,Moskovskaia oblast',Tcentralny,0,1,1,24.0,55.7,36.2,3102.49,1310.44,2016.34,2349,2820,27768.49192,49590.92936,60.24468521,63.11495574,104.68681049999999,116.8898993,0,0,0,0,0,0,1,0,0
606,1381,Taldom,Moskovskaia oblast',Tcentralny,0,1,1,24.0,56.73,37.54,3218.2929,1409.2516,2129.6442,1200,5967,25787.35762,46869.035110000004,50.26918954,75.58562848,103.177643,115.672445,0,0,0,0,0,0,1,0,0
638,1448,Novosil',Orlovskaia oblast',Tcentralny,0,1,1,29.0,52.97,37.07,2805.8209,1374.1849,1963.5979,2900,2728,20191.9525,31675.84616,63.56021438,62.58904773,98.2683504,107.39818829999999,0,0,0,0,0,0,1,0,1
669,1516,Rybnoe,Riazanskaia oblast',Tcentralny,0,1,1,35.0,54.74,39.5,2996.4676,1560.25,2162.23,1500,NA,25503.38199,42643.35649,53.48319243,NA,102.9528087,113.6489632,0,0,0,0,0,0,1,0,0
694,1567,Dukhovshchina,Smolenskaia oblast',Tcentralny,0,1,1,40.0,55.2,32.42,3047.04,1051.0564,1789.5839999999998,3109,2896,16963.59371,28267.41662,64.6746713,63.53820809,94.84470809999999,105.0515341,0,0,0,0,0,0,1,0,1
696,1570,El'nia,Smolenskaia oblast',Tcentralny,0,1,1,40.0,54.57,33.2,2977.8849,1102.24,1811.724,2441,4437,17292.94267,28550.107860000004,60.84254392,70.52193216,95.21961316,105.2556165,0,0,0,0,0,0,1,0,1
699,1577,Krasnyi,Smolenskaia oblast',Tcentralny,0,0,1,40.0,54.56,31.43,2976.7936,987.8449,1714.8208,2753,2764,15139.92588,24969.30438,62.73347284,62.79665715,92.64236966,102.5237763,0,0,0,0,0,0,1,0,1
716,1620,Aleksin,Tul'skaia oblast',Tcentralny,0,1,0,44.0,54.51,37.06,2971.3401,1373.4436,2020.1406,3465,3942,26066.78102,43617.422119999996,66.43012718,68.54918447,103.3967048,114.1310173,0,0,0,0,0,0,1,0,1
