,ID89,name89,region,okrug,oblast_center,CityStatus,RaionCenter,Gubernia,Latitude,Longitude,lat2,long2,latlong,pop1897,pop1926,pop1939,mp1897,mp1926,mp1939,spop1897,spop1926,spop1939,smp1897,smp1926,smp1939,URAL,YUZHNY,DALNEV,PRIVOL,SEVER_ZAPAD,SIBIRSKII,TSENTRALNY,HBR,LBR
71,212,Konosha,Arkhangel'skaia oblast',Severno-Zapadny,0,0,1,7.0,60.98,40.24,3718.5604,1619.2576,2453.8352,0,NA,NA,11724.726279999999,20118.87839,43196.07791,0.0,NA,NA,87.78669164,98.19648338,113.92370859999998,0,0,0,0,1,0,0,0,0
72,213,Voloshka,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.33,40.1,3761.3689,1608.01,2459.333,0,NA,NA,11322.71339,19428.453380000003,41848.45977,0.0,NA,NA,87.13412281,97.50563056,113.2481259,0,0,0,0,1,0,0,0,0
73,214,Ertsevo,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,60.8,40.09,3696.64,1607.2081,2437.472,0,NA,NA,12015.93457,20619.31242,44198.37959,0.0,NA,NA,88.247028,98.68402642,114.41390159999999,0,0,0,0,1,0,0,0,0
74,215,Podiuga,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.09,40.86,3731.9881,1669.5396,2496.1374,0,NA,NA,11407.12218,19635.40874,42237.06248,0.0,NA,NA,87.27283680000001,97.71500003,113.4449379,0,0,0,0,1,0,0,0,0
76,218,Privodino,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.07,46.49,3729.5449,2161.3201,2839.1443,0,NA,NA,10125.449120000001,17871.96023,39057.36419,0.0,NA,NA,85.06017354,95.86345181,111.783819,0,0,0,0,1,0,0,0,0
77,219,Udimskii,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.14,46.92,3738.0996,2201.4864,2868.6888,0,NA,NA,9901.617327,17521.59022,38496.20269,0.0,NA,NA,84.64834257,95.47613694,111.47801319999999,0,0,0,0,1,0,0,0,0
78,220,Kharitonovo,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.41,47.5,3771.1881,2256.25,2916.975,0,NA,NA,9446.620154,16585.04557,36322.869380000004,0.0,NA,NA,83.78495675,94.40564424,110.2542595,0,0,0,0,1,0,0,0,0
79,221,Cheremushskii,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.27,47.27,3754.0129,2234.4529,2896.2329,0,NA,NA,9666.796955,17001.99564,37242.63534,0.0,NA,NA,84.20727678,94.88875659,110.78003490000002,0,0,0,0,1,0,0,0,0
80,222,Shipitsyno,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.28,46.53,3755.2384,2165.0409,2851.3584,0,NA,NA,9875.317922,17665.40277,39155.10344,0.0,NA,NA,84.59941049,95.63594773,111.836675,0,0,0,0,1,0,0,0,0
82,227,Urdoma,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.76,48.55,3814.2976,2357.1025,2998.448,0,NA,NA,8907.273311,15610.76834,34281.82933,0.0,NA,NA,82.71217566,93.23285597,109.04310659999999,0,0,0,0,1,0,0,0,0
84,231,Leshukonskoe,Arkhangel'skaia oblast',Severno-Zapadny,0,0,1,1.0,64.9,45.77,4212.01,2094.8929,2970.473,0,NA,NA,7406.693184000001,12907.76903,28407.65546,0.0,NA,NA,79.39058332,89.59729295,105.1530054,0,0,0,0,1,0,0,0,0
86,235,Kamenka,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,1.0,65.89,44.11,4341.4921,1945.6921,2906.4079,0,NA,NA,7207.61952,12512.30635,27404.01589,0.0,NA,NA,78.90580603,89.00918545,104.4166151,0,0,0,0,1,0,0,0,0
87,237,Niandoma,Arkhangel'skaia oblast',Severno-Zapadny,0,1,1,27.0,61.67,40.21,3803.1889,1616.8441,2479.7507,0,4373,14906,10885.15962,18567.32861,39943.5328,0.0,70.27811855,92.34285725,86.39991833,96.6123625,112.2587304,0,0,0,0,1,0,0,0,0
88,238,Shalakusha,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,27.0,62.22,40.27,3871.3284,1621.6729,2505.5994,0,NA,NA,10261.15039,17606.47281,38102.2596,0.0,NA,NA,85.30591702,95.57060393,111.26091299999999,0,0,0,0,1,0,0,0,0
89,241,Maloshuika,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,1.0,63.71,43.76,4058.9641,1914.9376,2787.9496,0,NA,NA,8412.529285999999,14625.99869,32167.889389999997,0.0,NA,NA,81.67599875,91.97876355,107.7179121,0,0,0,0,1,0,0,0,0
91,245,Karpogory,Arkhangel'skaia oblast',Severno-Zapadny,0,0,1,1.0,64.0,44.45,4096.0,1975.8025,2844.8,0,NA,NA,8117.427390000001,14125.917980000002,31076.31227,0.0,NA,NA,81.03183719,91.31267423,107.0024973,0,0,0,0,1,0,0,0,0
95,251,Oksovskii,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,1.0,62.6,39.93,3918.76,1594.4049,2499.618,0,NA,NA,9946.019897,17078.41235,36953.39708,0.0,NA,NA,84.73069469,94.97614455,110.61597330000001,0,0,0,0,1,0,0,0,0
96,252,Puksoozero,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,1.0,62.58,40.61,3916.2564,1649.1721,2541.3738,0,NA,NA,9835.912132,16952.540080000002,36706.23778,0.0,NA,NA,84.52587514,94.83201257,110.47485619999999,0,0,0,0,1,0,0,0,0
97,253,Savinskii,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,1.0,62.39,40.15,3892.5121,1612.0225,2504.9585,0,NA,NA,10111.590479999999,17348.04155,37543.73059,0.0,NA,NA,85.03491172,95.28170677,110.9496017,0,0,0,0,1,0,0,0,0
98,254,Samoded,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,1.0,63.62,40.52,4047.5044,1641.8704,2577.8824,0,NA,NA,9019.466523000001,15686.925330000002,34766.09201,0.0,NA,NA,82.9400075,93.32686126,109.3362554,0,0,0,0,1,0,0,0,0
99,255,Severoonezhsk,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,1.0,62.57,39.86,3915.0049,1588.8196,2494.0402,0,NA,NA,9988.940379000001,17130.28014,37077.1282,0.0,NA,NA,84.80998714,95.03525938,110.6862977,0,0,0,0,1,0,0,0,0
100,257,Uemskii,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,1.0,64.48,40.86,4157.6704,1669.5396,2634.6528,0,NA,NA,9463.683957,18386.3159,46356.02912,0.0,NA,NA,83.81799852,96.41986941,115.43582749999999,0,0,0,0,1,0,0,0,0
101,262,Oktiabr'skii,Arkhangel'skaia oblast',Severno-Zapadny,0,0,1,7.0,61.08,43.17,3730.7664,1863.6489,2636.8236,0,NA,NA,10780.1903,18697.37587,40373.75871,0.0,NA,NA,86.21986951,96.7496199,112.4858639,0,0,0,0,1,0,0,0,0
102,263,Ileza,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.04,43.88,3725.8816,1925.4544,2678.4352,0,NA,NA,10623.988790000001,18465.61721,39937.66338,0.0,NA,NA,85.94902716,96.50440882,112.25561640000001,0,0,0,0,1,0,0,0,0
103,264,Kizema,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.12,44.82,3735.6544,2008.8324,2739.3984,0,NA,NA,10327.87686,18004.644080000002,39031.228839999996,0.0,NA,NA,85.42569192,96.00834877,111.76966509999998,0,0,0,0,1,0,0,0,0
104,265,Loiga,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.08,44.61,3730.7664,1990.0521,2724.7788,0,NA,NA,10409.7772,18135.08858,39291.75707,0.0,NA,NA,85.57176428,96.14986856,111.91037539999999,0,0,0,0,1,0,0,0,0
105,267,Lukovetskii,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,1.0,64.3,41.92,4134.49,1757.2864,2695.4559999999997,0,NA,NA,8468.335926,14895.043940000001,33561.9985,0.0,NA,NA,81.79555129,92.32872640000001,108.60036129999999,0,0,0,0,1,0,0,0,0
108,274,Nar'ian-Mar,Nenetskii avtonomnyi okrug,Severno-Zapadny,1,1,1,1.0,67.67,53.08,4579.2289,2817.4864,3591.9236,0,14000,13700,5584.708515,9785.732003000001,21681.64921,0.0,91.14163098,90.7285037,74.43871748,84.43185274,99.68467942,0,0,0,0,1,0,0,1,0
109,276,Amderma,Nenetskii avtonomnyi okrug,Severno-Zapadny,0,0,0,1.0,69.76,61.68,4866.4576,3804.4224,4302.7968,0,NA,NA,4559.388924,8090.8260230000005,18011.003119999998,0.0,NA,NA,70.97967948,80.97275226,96.01526903,0,0,0,0,1,0,0,1,0
113,287,Sokol,Vologodskaia oblast',Severno-Zapadny,0,1,0,7.0,59.46,40.14,3535.4916,1611.2196,2386.7244,0,5926,29039,15074.46451,26223.36915,55143.88982999999,0.0,75.46578856,105.6042949,92.55897486,103.51854240000002,119.1962001,0,0,0,0,1,0,0,0,0
